Heads of Receipts,TAX REVENUE,DIRECT TAXES,Corporation tax,Taxes on income,Estate duty,Interest tax,Wealth tax,Gift tax,Land revenue,Agricultural tax,Hotel receipts tax,Expenditure tax,Others,INDIRECT TAXES,Customs,Union excise duties,Service tax,State excise duty,Stamp & registration fees,General sales tax,Taxes on vehicle,Entertainment tax,Taxes on goods & passengers,Taxes & duty on electricity,Taxes on purchase of sugarcane (including cess on sugarcane),Others,NON-TAX REVENUE,Net contribution of public undertakings,Net contribution of departmental undertakings,Railways,Posts,Profits of RBI,Forests,Power projects,Irrigation projects (commercial) and Multipurpose river projects,Discount royalty on crude oil,Others,Dividends from non-depart- mental undertakings,Interest receipts,Fiscal Services,General Services,Social & Community Services,Economic Services,External grants,SELF-BALANCING ITEM,TRANSFER FROM FUNDS,ADJUSTMENT ON ACCOUNT OF DIFFERENCE IN FIGURES OF TRANSFERS,OTHER ADJUSTMENTS,TOTAL
2012-13 ,1716117,568717,356326,196844,1,6,844,1,8745,136,58,15,5742,1147400,165346,175845,132601,86442,78889,422578,35445,2030,15316,22201,329,10378,206292,67502,52871,0,-5426,40406,-4365,1954,-15786,14134,21952,14631,36853,58,28566,22866,48136,2311,0,-,10778,0,1933187
2013-14 (B.E.),2032489.07,679297.56,419520,240922.1,0,0,950,0,11744.01,134.59,90.04,0,5936.82,1353191.51,187308,196804.95,180141.04,98763.22,92156.59,503653.36,40668.13,2030.87,16648.64,22009.89,349.41,12657.41,240390.8,62831.47,31704.66,0,-7062.13,43996.24,-4508.31,-6253,-18535.61,12175.77,11891.7,31126.81,30399.59,57.82,31361.18,25316.54,88968.07,1456.13,0,-,51633.1,0,2324512.97
2013-14 (R.E.),1940446,646907,393677,236197,0,0,950,0,10036,144,85,0,5818,1293539,175056,178787,164927,88828,88639,503121,39679,1991,17054,23603,226,11627,279620,105539,60531,0,-6009,45113,-4524,1748,-17721,14902,27022,45009,37670,113,32230,24233,76699,3135,0,-,94783,0,2314849
2013-14 ,1879143,648966,394678,237870,0,8,1007,1,9021,149,64,9,6160,1230177,172085,169455,154780,85557,80528,475131,37471,2198,19578,22485,163,10745,280377,103653,75959,0,-5473,64513,-4354,1996,-17544,16204,20617,27694,41689,144,31195,24405,75673,3618,0,,9674,0,2169193
2014-15 (B.E.),2238115,748643,451005,278278,0,0,950,0,11593,180,69,0,6567,1489472,201819,206356,215973,100577,98175,561597,43469,2294,21726,24947,166,12373,316322,114783,85603,0,-7161,62414,-6261,1917,-10604,13570,31728,29180,36464,88,44827,28319,89438,2405,0,28319,100560,0,2654997
2014-15 (RE),2098175,716774,426079,272610,0,0,950,0,10530,161,67,0,6376,1381401,188713,184731,168132,98835,92272,544256,42866,2245,20537,26625,167,12022,324132,103894,73972,0,-6508,60358,-5749,1787,-18932,14212,28805,29922,40533,144,48499,30090,98162,2811,0,,165984,0,2588292
2014-15,2040027,703508,428925,258374,0,6,1086,0,8773,90,73,11,6170,1336518,188016,189038,167969,94178,87050,506106,40927,2385,19614,25733,1148,14354,283622,102696,68896,0,-6259,58141,-5054,-562,-16410,14339,24700,33800,40958,97,38558,27368,72346,1600,0,-,-11306,0,2312342
2015-16 (BE),2419085,813353,470628,320839,0,0,0,0,13760,182,79,0,7864,1605732,208336,229054,209774,114639,105171,622855,48531,2530,23200,28428,188,13026,353907,127397,89487,0,-6791,64477,-4834,1941,-15557,13998,36253,37910,36446,155,56655,39948,91532,1774,0,,70749,0,2843740
2015-16 (RE),2384421,763454,452970,291653,0,0,0,0,11318,108,78,0,7327,1620967,209500,283353,210000,113034,100444,585925,47570,2619,23544,29689,1121,14167,373839,152202,105727,0,-6913,73906,-4402,9902,-13927,10719,36441,46475,38159,103,46085,35602,98750,2937,0,-,94906,0,2853166
2015-16,2335483,752231,453228,280323,1,5,1079,0,10798,99,83,4,6612,1583252,210338,287149,211414,106598,96203,550987,46842,2731,23373,31093,1532,14990,388115,131628,99316,0,-6007,81511,-117,9624,0,14134,172,32312,38547,630,47053,35376,133001,1881,0,,8494,,2732093
2016-17(BE),2684384,862077,493924,345776,0,0,0,0,14090,116,89,0,8083,1822307,230000,317860,231000,125902,113122,670875,54593,2998,26974,32785,1258,14940,459338,160353,104094,0,-8604,69897,-4203,14251,-13899,12364,34288,56259,40016,103,58342,47626,150035,2862,0,-,201850,0,3345572
2016-17 (RE),2691449,859481,493924,345779,0,0,0,0,12109,102,91,0,7476,1831969,217000,386415,247500,117925,96388,632474,53581,2905,26584,33112,3242,14841,503334,173700,94742,0,-9920,76172,-88,9426,0,14902,4250,78958,32935,658,51835,47275,194049,2882,0,,175709,,3370493
2017-18 (BE),3011928,996185,538745,433494,0,0,0,0,15543,113,100,0,8189,2015743,245000,405920,275000,134173,107804,710798,62766,3428,17023,36300,2493,15008,467458,155683,86384,0,-8659,74901,-96,8498,0,13570,-1831,69300,31182,660,55678,38647,182547,3060,0,,229634,,3709020
